artists,id,name,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,analysis_url,duration_ms,time_signature
Lotta Engberg,4UuKT9xgMQQUPD3VWRGLJb,Fyra bugg & en Coca-Cola,40,spotify:track:4UuKT9xgMQQUPD3VWRGLJb,0.567,0.94,3,-5.161,1,0.049,0.515,3.51e-05,0.441,0.967,84.188,audio_features,https://api.spotify.com/v1/audio-analysis/4UuKT9xgMQQUPD3VWRGLJb,178013,4
Lasse Holm,5MBBQ7P9AozcQ8lF7So1B3,E' de' det här du kallar kärlek,40,spotify:track:5MBBQ7P9AozcQ8lF7So1B3,0.638,0.883,5,-4.273,1,0.0409,0.253,0.0,0.146,0.913,118.198,audio_features,https://api.spotify.com/v1/audio-analysis/5MBBQ7P9AozcQ8lF7So1B3,169784,4
Kikki Danielsson,0FSlaiuv4eBrrjz05jpxz6,Bra vibrationer,49,spotify:track:0FSlaiuv4eBrrjz05jpxz6,0.467,0.779,0,-3.071,1,0.0336,0.455,0.0,0.176,0.749,191.287,audio_features,https://api.spotify.com/v1/audio-analysis/0FSlaiuv4eBrrjz05jpxz6,186453,4
Herreys,4NzirQ4BrNkVaPEla2ipG4,Diggiloo Diggiley,48,spotify:track:4NzirQ4BrNkVaPEla2ipG4,0.681,0.876,5,-4.104,1,0.0319,0.268,9.96e-06,0.131,0.961,130.89,audio_features,https://api.spotify.com/v1/audio-analysis/4NzirQ4BrNkVaPEla2ipG4,187520,4
Carola,17zFOtbuquEAAxSttpfWWl,Främling,50,spotify:track:17zFOtbuquEAAxSttpfWWl,0.668,0.786,6,-2.886,1,0.0266,0.511,1.22e-05,0.105,0.739,106.595,audio_features,https://api.spotify.com/v1/audio-analysis/17zFOtbuquEAAxSttpfWWl,177893,4
Chips,4aJ1AoiwjzsOxWqabRTJd3,Dag efter dag,40,spotify:track:4aJ1AoiwjzsOxWqabRTJd3,0.514,0.968,1,-2.877,1,0.0593,0.235,0.0,0.294,0.591,132.364,audio_features,https://api.spotify.com/v1/audio-analysis/4aJ1AoiwjzsOxWqabRTJd3,174400,4
Björn Skifs,5Vu25xkAIliFJTMpkXHPGh,Fångad i en dröm,32,spotify:track:5Vu25xkAIliFJTMpkXHPGh,0.703,0.825,5,-5.495,0,0.0314,0.0343,0.0,0.611,0.794,124.765,audio_features,https://api.spotify.com/v1/audio-analysis/5Vu25xkAIliFJTMpkXHPGh,177200,4
Tomas Ledin,65SBA09OxWed0kFLCyGzh8,Just Nu,0,spotify:track:65SBA09OxWed0kFLCyGzh8,0.748,0.474,9,-14.239,0,0.0448,0.0103,0.229,0.0645,0.904,140.262,audio_features,https://api.spotify.com/v1/audio-analysis/65SBA09OxWed0kFLCyGzh8,222173,4
Ted Gärdestad,3YwVIeeplBj3YSWT7vCr79,Satellit,0,spotify:track:3YwVIeeplBj3YSWT7vCr79,0.511,0.79,10,-4.376,1,0.0405,0.26,0.0,0.0585,0.948,108.368,audio_features,https://api.spotify.com/v1/audio-analysis/3YwVIeeplBj3YSWT7vCr79,257587,4
Björn Skifs,21Ko7CH62N6s0sq2nfttv2,Det blir alltid värre framåt natten,35,spotify:track:21Ko7CH62N6s0sq2nfttv2,0.499,0.6,5,-6.929,1,0.0294,0.127,0.0,0.172,0.498,77.979,audio_features,https://api.spotify.com/v1/audio-analysis/21Ko7CH62N6s0sq2nfttv2,182613,4
Forbes,1LiPcvWAEMC4AMUnHDbppP,Beatles - svensk version,28,spotify:track:1LiPcvWAEMC4AMUnHDbppP,0.661,0.819,10,-4.705,1,0.0404,0.264,0.0319,0.261,0.824,112.85,audio_features,https://api.spotify.com/v1/audio-analysis/1LiPcvWAEMC4AMUnHDbppP,169306,4
Lasse Berghagen,3BdAVTDazl0jW9Jpxz0VYh,Jennie Jennie,31,spotify:track:3BdAVTDazl0jW9Jpxz0VYh,0.381,0.554,0,-6.448,0,0.0309,0.435,0.0,0.136,0.48,184.905,audio_features,https://api.spotify.com/v1/audio-analysis/3BdAVTDazl0jW9Jpxz0VYh,206400,4
ABBA,1CsuK5dlnWAkWhffeteqH3,Waterloo,0,spotify:track:1CsuK5dlnWAkWhffeteqH3,0.414,0.944,2,-2.87,1,0.0486,0.231,2.13e-05,0.336,0.723,147.216,audio_features,https://api.spotify.com/v1/audio-analysis/1CsuK5dlnWAkWhffeteqH3,165800,4
